Time,data
1652390104.6627028,s20000.0
1652390104.7525985,s20000.0
1652390104.8500836,s20000.0
1652390104.9386537,s20000.0
1652390105.0363886,s20000.0
1652390105.1245222,s20000.0
1652390105.2264576,s20000.0
1652390105.4198604,s20000.0
1652390105.460586,s20000.0
1652390105.5216973,s20000.0
1652390105.6102917,s20000.0
1652390105.6978443,s20000.0
1652390105.796288,s20000.0
1652390105.9074304,s20000.0
1652390105.9944007,s20000.0
1652390106.0927541,s20000.0
1652390106.190864,s20000.0
1652390106.2779145,s20000.0
1652390106.3760314,s20000.0
1652390106.4637034,s20000.0
1652390106.649055,s20000.0
1652390106.6995382,s20000.0
1652390106.7613459,s20000.0
1652390106.8605342,s20000.0
1652390106.947832,s20000.0
1652390107.0466232,s20000.0
1652390107.135633,s20000.0
1652390107.244317,s20000.0
1652390107.3340762,s20000.0
1652390107.4314342,s20000.0
1652390107.5189226,s20000.0
1652390107.618964,s20000.0
1652390107.7064936,s20000.0
1652390107.8058822,s20000.0
1652390107.980019,s20000.0
1652390108.0207186,s20000.0
1652390108.1028287,s20000.0
1652390108.1985726,s20000.0
1652390108.2853734,s20000.0
1652390108.375822,s20000.0
1652390108.4741268,s20000.0
1652390108.564553,s20000.0
1652390108.6727858,s20000.0
1652390108.7686057,s20000.0
1652390108.8683796,s20000.0
1652390108.9574006,s20000.0
1652390109.04555,s20000.0
1652390109.1439683,s20000.0
1652390109.2332275,s20000.0
1652390109.4120464,s20000.0
1652390109.4563007,s20000.0
1652390109.5261555,s20000.0
1652390109.6284575,s20000.0
1652390109.718605,s20000.0
1652390109.8263526,s20000.0
1652390109.913477,s20000.0
1652390110.0124793,s20000.0
1652390110.1022356,s20000.0
1652390110.1982186,s20000.0
1652390110.2862744,s20000.0
1652390110.3871298,s20000.0
1652390110.493578,s20000.0
1652390110.5828717,s20000.0
1652390110.6847422,s20000.0
1652390110.7715216,s20000.0
1652390110.8703604,s20000.0
1652390110.95905,s20000.0
